experiment,game_id,white_strategy,black_strategy,result,winner,move_count,duration_s,error,started_at,finished_at
"opening-intelligence-endgame vs all","345ae4f2-2f99-4c07-afe3-77d29c202789","opening-intelligence-endgame","iterative-deepening-endgame","","",0,300,023,"Timed out while waiting for backend game completion",2026-04-12 01:56:40,2026-04-12 02:01:40
"opening-intelligence-endgame vs all","adf26f88-30e7-476d-b6b6-0855aadf32e9","opening-intelligence-endgame","iterative-deepening-endgame","","",0,300,019,"Timed out while waiting for backend game completion",2026-04-12 02:01:40,2026-04-12 02:06:40
"opening-intelligence-endgame vs all","6ad5f5bc-4716-4825-9dd8-12eff639ff75","opening-intelligence-endgame","iterative-deepening-endgame","Draw","",105,222,961,"",2026-04-12 02:06:40,2026-04-12 02:10:23
"opening-intelligence-endgame vs all","dd57def9-d721-444f-a742-583ca94a5ec7","opening-intelligence-endgame","iterative-deepening-endgame","BlackWin","black",70,143,227,"",2026-04-12 02:10:23,2026-04-12 02:12:46
"opening-intelligence-endgame vs all","624d7258-adb7-4d4a-a372-4d3b5e6cb1a7","opening-intelligence-endgame","iterative-deepening-endgame","WhiteWin","white",61,130,107,"",2026-04-12 02:12:46,2026-04-12 02:14:56
"opening-intelligence-endgame vs all","ae4edefd-f74a-4e4e-a995-daba26455a1d","opening-intelligence-endgame","iterative-deepening-endgame","","",0,300,022,"Timed out while waiting for backend game completion",2026-04-12 02:14:56,2026-04-12 02:19:56
"opening-intelligence-endgame vs all","93652ef2-48f9-4fd2-9ea6-bd901d3a1b70","opening-intelligence-endgame","iterative-deepening-endgame","WhiteWin","white",29,56,954,"",2026-04-12 02:19:57,2026-04-12 02:20:53
"opening-intelligence-endgame vs all","6187dfdd-a51c-4609-8bbd-46d4a9893dd7","opening-intelligence-endgame","iterative-deepening-endgame","","",0,300,019,"Timed out while waiting for backend game completion",2026-04-12 02:20:53,2026-04-12 02:25:53
"opening-intelligence-endgame vs all","16874295-bb7e-44f0-9426-c1411598c8a5","iterative-deepening-endgame","opening-intelligence-endgame","WhiteWin","white",67,144,760,"",2026-04-12 02:25:54,2026-04-12 02:28:18
"opening-intelligence-endgame vs all","94d41818-e113-419b-b529-7f44cf6ba98d","iterative-deepening-endgame","opening-intelligence-endgame","Draw","",53,114,395,"",2026-04-12 02:28:18,2026-04-12 02:30:13
"opening-intelligence-endgame vs all","361a175c-ddd4-4c53-97e2-0e6211ee2dc9","iterative-deepening-endgame","opening-intelligence-endgame","","",0,300,006,"Timed out while waiting for backend game completion",2026-04-12 02:30:13,2026-04-12 02:35:13
"opening-intelligence-endgame vs all","3e661dd4-5534-4ebb-ba36-7169a0f3d1f7","iterative-deepening-endgame","opening-intelligence-endgame","BlackWin","black",52,112,423,"",2026-04-12 02:35:13,2026-04-12 02:37:05
"opening-intelligence-endgame vs all","6804496c-d617-44bc-8360-893158127a1e","iterative-deepening-endgame","opening-intelligence-endgame","","",0,300,015,"Timed out while waiting for backend game completion",2026-04-12 02:37:05,2026-04-12 02:42:05
"opening-intelligence-endgame vs all","f5c2cf6d-2e7c-4e83-95e4-1a45bc50f90a","iterative-deepening-endgame","opening-intelligence-endgame","WhiteWin","white",129,278,416,"",2026-04-12 02:42:05,2026-04-12 02:46:44
"opening-intelligence-endgame vs all","e6e9dfbb-46e0-436c-82e1-6743300e164c","iterative-deepening-endgame","opening-intelligence-endgame","","",0,300,015,"Timed out while waiting for backend game completion",2026-04-12 02:46:44,2026-04-12 02:51:44
"opening-intelligence-endgame vs all","735927df-0fe3-491e-ad32-34d51ce62b4b","iterative-deepening-endgame","opening-intelligence-endgame","","",0,300,030,"Timed out while waiting for backend game completion",2026-04-12 02:51:44,2026-04-12 02:56:44
"opening-intelligence-endgame vs all","3b5cba76-05b1-42e5-80ba-6453c075cbe5","iterative-deepening-endgame","opening-intelligence-endgame","WhiteWin","white",117,252,546,"",2026-04-12 02:56:44,2026-04-12 03:00:56
"opening-intelligence-endgame vs all","8db5cc23-cf58-419d-9b7b-2115b761aa21","iterative-deepening-endgame","opening-intelligence-endgame","WhiteWin","white",55,118,792,"",2026-04-12 03:00:56,2026-04-12 03:02:55
"opening-intelligence-endgame vs all","e12c1996-3fce-40ff-b552-69f79240f415","iterative-deepening-endgame","opening-intelligence-endgame","WhiteWin","white",73,157,611,"",2026-04-12 03:02:55,2026-04-12 03:05:33
"opening-intelligence-endgame vs all","387a8bd2-dd3c-4fe1-9615-00b9b5bdf418","iterative-deepening-endgame","opening-intelligence-endgame","WhiteWin","white",71,153,456,"",2026-04-12 03:05:33,2026-04-12 03:08:06
"opening-intelligence-endgame vs all","fa833994-6df6-4a05-b2d1-9593bc54a79b","iterative-deepening-endgame","opening-intelligence-endgame","WhiteWin","white",29,62,639,"",2026-04-12 03:08:06,2026-04-12 03:09:09
"opening-intelligence-endgame vs all","9799b961-f7ec-48a3-ae97-17e2b8e37862","iterative-deepening-endgame","opening-intelligence-endgame","BlackWin","black",126,272,259,"",2026-04-12 03:09:09,2026-04-12 03:13:41
"opening-intelligence-endgame vs all","1c41807c-7fa2-4859-ad6a-0865becddc4c","iterative-deepening-endgame","opening-intelligence-endgame","WhiteWin","white",109,235,410,"",2026-04-12 03:13:41,2026-04-12 03:17:37
"opening-intelligence-endgame vs all","7aefce38-bbc1-4828-8fa2-0c813c617d61","iterative-deepening-endgame","opening-intelligence-endgame","Draw","",58,125,336,"",2026-04-12 03:17:37,2026-04-12 03:19:42
"opening-intelligence-endgame vs all","bf68f505-935f-4854-8539-39fb34c0c87a","iterative-deepening-endgame","opening-intelligence-endgame","BlackWin","black",138,298,134,"",2026-04-12 03:19:42,2026-04-12 03:24:40
"opening-intelligence-endgame vs all","9bb49b9a-04e5-4aa4-943c-cc05ad31aec0","iterative-deepening-endgame","opening-intelligence-endgame","WhiteWin","white",27,58,263,"",2026-04-12 03:24:40,2026-04-12 03:25:38
"opening-intelligence-endgame vs all","cbfadf56-6e5f-4655-a05c-1a3aba0be906","iterative-deepening-endgame","opening-intelligence-endgame","BlackWin","black",56,121,124,"",2026-04-12 03:25:38,2026-04-12 03:27:39
"opening-intelligence-endgame vs all","7e9a3b87-aa77-400e-af2e-50332af22e0d","iterative-deepening-endgame","opening-intelligence-endgame","Draw","",80,172,788,"",2026-04-12 03:27:39,2026-04-12 03:30:32
"opening-intelligence-endgame vs all","ee49087c-b752-4928-bf08-335c54330099","opening-intelligence-endgame","opening-continuation-endgame","","",0,300,005,"Timed out while waiting for backend game completion",2026-04-12 03:30:32,2026-04-12 03:35:32
"opening-intelligence-endgame vs all","48034e23-b2e5-476b-ab6a-eeee4bb003a8","opening-intelligence-endgame","opening-continuation-endgame","Draw","",89,206,067,"",2026-04-12 03:35:32,2026-04-12 03:38:58
"opening-intelligence-endgame vs all","69823a68-97a0-46b5-8a34-7841a5af7b11","opening-intelligence-endgame","opening-continuation-endgame","","",0,300,017,"Timed out while waiting for backend game completion",2026-04-12 03:38:58,2026-04-12 03:43:58
"opening-intelligence-endgame vs all","bdfa0d31-21eb-4200-81db-ecdd5faa13dd","opening-intelligence-endgame","opening-continuation-endgame","BlackWin","black",96,221,093,"",2026-04-12 03:43:58,2026-04-12 03:47:40
"opening-intelligence-endgame vs all","9d8d17b7-74b0-46c8-821b-1cb246ddeab2","opening-intelligence-endgame","opening-continuation-endgame","WhiteWin","white",91,206,856,"",2026-04-12 03:47:40,2026-04-12 03:51:06
"opening-intelligence-endgame vs all","2e63c2e2-f2ad-448e-8ae9-79827adc67ae","opening-intelligence-endgame","opening-continuation-endgame","","",0,300,016,"Timed out while waiting for backend game completion",2026-04-12 03:51:06,2026-04-12 03:56:06
"opening-intelligence-endgame vs all","0bbaa8f8-9e16-4012-813d-556f6b19a14f","opening-intelligence-endgame","opening-continuation-endgame","BlackWin","black",114,268,844,"",2026-04-12 03:56:06,2026-04-12 04:00:35
"opening-intelligence-endgame vs all","14e99dc7-10a2-44a5-982a-58e08b3b6350","opening-intelligence-endgame","opening-continuation-endgame","","",0,300,011,"Timed out while waiting for backend game completion",2026-04-12 04:00:35,2026-04-12 04:05:35
"opening-intelligence-endgame vs all","22a07f81-250b-4fd2-af9b-0315e7a14a8f","opening-intelligence-endgame","opening-continuation-endgame","BlackWin","black",44,94,981,"",2026-04-12 04:05:35,2026-04-12 04:07:10
